Unnamed: 0.1,Unnamed: 0,index,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,TV,Bed,Microwave,Geyser,Fan,Chimney,Water Purifier,Dining Table,Sofa,Fridge,Modular Kitchen,Stove,Light,Curtains,Exhaust Fan,Wardrobe,AC,Washing Machine,furnishing_type,luxury_score,Safety,Lifestyle,Environment,Connectivity,Management,Amenities,Green_area,Construction
1549,1549,1549,Flat,sector 107,signature global solera,0.36,602.0,5980.0,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.)Carpet area: 546 sq.ft. (50.73 sq.m.),2,2,1,7th   of 14 Floors,Relatively New,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],7.0,14.0,602.0,546.0,598.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,,,,3.0,4.0,4.0,4.5,4.5
1550,1550,1550,Flat,sector 56,mariners home,2.11,2450.0,8612.0,Super Built up area 2450(227.61 sq.m.)Built Up area: 2250 sq.ft. (209.03 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),3,2,3,4th   of 7 Floors,Relatively New,[Environment4 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety4 out of 5],4.0,7.0,2450.0,2150.0,2250.0,0,0,0,0,1,0,0,0,4,5,1,0,0,0,0,1,0,21,0,1,4,0,0,2,126,4.0,5.0,4.0,5.0,,,,
1551,1551,1551,Flat,sector 85,orris aster court premier,1.45,2120.0,6840.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,3rd   of 12 Floors,New Property,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety4.5 out of 5],3.0,12.0,2120.0,,1616.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4.5,5.0,5.0,5.0,,,,
1552,1552,1552,Flat,sector 37c,ild grand,0.66,1310.0,5038.0,Built Up area: 1310 (121.7 sq.m.),2,2,3+,14th   of 14 Floors,undefined,[Environment5 out of 5 Safety4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5],14.0,14.0,,,1310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4.0,4.0,5.0,4.0,,,,
1553,1553,1553,Flat,sector 88a,godrej oasis,0.95,1307.0,7269.0,Carpet area: 1307 (121.42 sq.m.),2,2,2,6th   of 17 Floors,Relatively New,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],6.0,17.0,,1307.0,1452.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,,,,4.5,4.5,5.0,5.0,4.5
1554,1554,1554,house,sector 33,nitin vihar,0.85,900.0,9444.0,Plot area 900(83.61 sq.m.),3,2,0,1.0,Relatively New,[Environment3 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4.0,4.0,3.0,4.0,,,,
1555,1555,1555,Flat,sector 14,unitech heritage city,4.26,3250.0,13108.0,Built Up area: 3250 (301.93 sq.m.),4,4,0,9th   of 9 Floors,undefined,[Environment4 out of 5 Safety3 out of 5 Lifestyle4 out of 5 Connectivity3 out of 5],9.0,9.0,,,3250.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3.0,4.0,4.0,3.0,,,,
1556,1556,1556,Flat,sector 67,m3m merlin,3.32,2358.0,14080.0,Super Built up area 2358(219.07 sq.m.)Carpet area: 1709 sq.ft. (158.77 sq.m.),3,4,3,8th   of 21 Floors,New Property,[Green Area4 out of 5 Construction4 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],8.0,21.0,2358.0,1709.0,2016.0,0,1,0,0,0,0,0,0,4,6,1,1,0,0,0,1,1,17,1,1,3,6,0,2,174,,,,4.0,4.0,5.0,4.0,4.0
1557,1557,1557,Flat,sector 103,indiabulls centrum park,2.36,2570.0,9183.0,Super Built up area 2875(267.1 sq.m.)Carpet area: 2570 sq.ft. (238.76 sq.m.),4,6,3+,8th   of 18 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],8.0,18.0,2875.0,2570.0,2729.0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,18,0,1,0,6,0,2,159,,,,3.0,4.0,4.0,5.0,4.0
1558,1558,1558,Flat,sector 92,sare crescent parc royal greens phase 1,0.95,1897.0,5008.0,Super Built up area 1897(176.24 sq.m.),4,5,3+,4th   of 14 Floors,Moderately Old,[Environment5 out of 5 Safety3 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5],4.0,14.0,1897.0,,1717.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3.0,4.0,5.0,4.0,,,,
